iter	Passed	Remaining
0	0	93
1	1	84
2	2	80
3	3	73
4	3	72
5	4	72
6	5	71
7	6	71
8	6	69
9	7	69
10	8	68
11	9	68
12	10	67
13	10	67
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	63
20	16	62
21	17	62
22	18	61
23	19	61
24	20	60
25	20	59
26	21	58
27	22	58
28	23	57
29	24	56
30	25	55
31	25	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	34	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	48	33
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
